"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009556652048","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009556652048","","Software Development Engineer, Amazon Q Business, Chat","Amazon Web Services, Inc.","New York, NY","2024-12-07","","direct_data","yearly",129300.0,223600.0,"USD",False,"","","organic","","* 3\\+ years of non\\-internship professional software development experience
* 2\\+ years of non\\-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience
* Experience programming with at least one software programming language


Amazon Q Business is revolutionizing workplace productivity through innovative generative AI technology. As a cutting\\-edge AI\\-powered assistant, it transforms how enterprises operate by empowering employees to be more creative, data\\-driven, efficient, prepared, and productive. Unlike traditional AI assistants, Amazon Q Business leverages advanced artificial intelligence to answer questions, provide summaries, generate content, and securely complete tasks based on enterprise data.
  
  

The candidate will join the Retrieval team, responsible for obtaining the most relevant documents relevant to answer the user's queries.
  
  

AWS Utility Computing (UC) provides product innovations — from foundational services such as Amazon’s Simple Storage Service (S3\\) and Amazon Elastic Compute Cloud (EC2\\), to consistently released new product innovations that continue to set AWS’s services and features apart in the industry. As a member of the UC organization, you’ll support the development and management of Compute, Database, Storage, Internet of Things (Iot), Platform, and Productivity Apps services in AWS, including support for customers who require specialized security solutions for their cloud services.
  
  

About the team
  
Diverse Experiences
  
AWS values diverse experiences. Even if you do not meet all of the qualifications and skills listed in the job description, we encourage candidates to apply. If your career is just starting, hasn’t followed a traditional path, or includes alternative experiences, don’t let it stop you from applying.
  
  

About AWS
  
Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform. We pioneered cloud computing and never stopped innovating — that’s why customers from the most successful startups to Global 500 companies trust our robust suite of products and services to power their businesses.
  
  

Inclusive Team Culture
  
Here at AWS, it’s in our nature to learn and be curious. Our employee\\-led affinity groups foster a culture of inclusion that empower us to be proud of our differences. Ongoing events and learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences, inspire us to never stop embracing our uniqueness.
  
  

Work/Life Balance
  
We value work\\-life harmony. Achieving success at work should never come at the expense of sacrifices at home, which is why we strive for flexibility as part of our working culture. When we feel supported in the workplace and at home, there’s nothing we can’t achieve in the cloud.
  
  

Mentorship \\& Career Growth
  
We’re continuously raising our performance bar as we strive to become Earth’s Best Employer. That’s why you’ll find endless knowledge\\-sharing, mentorship and other career\\-advancing resources here to help you develop into a better\\-rounded professional.
  
  

* 3\\+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience
* Bachelor's degree in computer science or equivalent


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.
  
  

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how\\-we\\-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.
  
  

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $129,300/year in our lowest geographic market up to $223,600/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job\\-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign\\-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee\\-benefits. This position will remain posted until filled. Applicants should apply via our internal or external career site.","","https://www.glassdoor.com/Overview/W-EI_IE7470741.htm","https://media.glassdoor.com/sql/7470741/amazon-web-services-squareLogo-1680754591940.png","","","","",""
"gd-1009556393113","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009556393113","","Futures Engineering Team - Software Engineer - GBM Public - NYC","Goldman Sachs","New York, NY","2024-12-07","","direct_data","yearly",110000.0,130000.0,"USD",False,"","","organic","","**What We Do**

The Futures Engineering team at Goldman Sachs specializes in the design and development of software that supports a **global, 24\\-hour trading** business. We work alongside the business to build **scalable and resilient applications** used by our clients and internal Trading and Sales desks.


We build systems capable of processing 1000s of messages per second and terabytes of data. We develop user\\-facing tooling and large\\-scale post\\-execution systems that help drive the success of the fast\\-paced Futures business. We build reference data services that expose the vast Futures product universe to our trading applications. We design and implement software that directly integrates with other financial firms and Futures exchanges across the Street.


The team is working on a **multi\\-year uplift** of the order trading workflow platform. This is a great opportunity to help build the next generation of high touch Futures trading applications at Goldman Sachs. In this role, you will work closely with the desk to design **highly customizable and flexible tooling** to support our sales traders’ as they execute orders on behalf of GS clients.


We are a team of **full\\-stack software engineers** empowered to utilize leading open\\-source software and proprietary GS technologies in order to build enterprise\\-grade systems that align with business goals. We work with a wide range of technologies; our stack is predominantly written in **Java** with **Kafka** \\-based messaging and **Hadoop/HBase** based persistent stores. We also work heavily with the **React** framework for front\\-end application development and rely on a **git\\-based SDLC** .


The Futures Agency business at Goldman Sachs is responsible for providing our clients with **electronic order execution** on Futures exchanges located across the globe. We offer GS clients both low\\-latency direct market access and a customizable high\\-touch sales trader workflow. We utilize **proprietary algorithms** to execute our clients’ orders and offer many **post\\-execution services** to help our clients better manage their risk.


**Your Opportunity**

We are looking for a hands\\-on software engineer that can excel in the end\\-to\\-end development process, gathering requirements from sales and trading desks, designing solutions, creating execution plans, and implementing, testing and delivering high\\-quality results.


You will have the opportunity to work with large\\-scale distributed systems that have numerous touchpoints with a variety of internal and external teams.


You will have the opportunity to work both independently and collaboratively within teams, demonstrating the ability to deliver individually, while also supporting group initiatives to achieve shared goals.


The ideal candidate will bring an agile mindset and be familiar with technical standards and best practices.


Be given a platform to contribute fresh ideas and innovative solutions to an ever changing fast passed front office problems.


**Qualifications**

* BS degree or higher in Engineering field, preferably Computer Science
* 1\\-3 years of software engineering experience
* Java development experience
* UI development experience
* Familiarity with large scale software architecture and design
* Strong communication skills

**Salary Range**  

The expected base salary for this New York, New York, United States\\-based position is $110000\\-$130000\\. In addition, you may be eligible for a discretionary bonus if you are an active employee as of fiscal year\\-end.


**Benefits**  

Goldman Sachs is committed to providing our people with valuable and competitive benefits and wellness offerings, as it is a core part of providing a strong overall employee experience. A summary of these offerings, which are generally available to active, non\\-temporary, full\\-time and part\\-time US employees who work at least 20 hours per week","","https://www.glassdoor.com/Overview/W-EI_IE2800.htm","https://media.glassdoor.com/sql/2800/goldman-sachs-squarelogo-1579121885039.png","","","","",""
"gd-1009556150194","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009556150194","","Engineering Manager, Fixed Route","Via","New York, NY","2024-12-07","","direct_data","yearly",180000.0,250000.0,"USD",False,"","","organic","","Via is using technology to transform transportation around the world. From changing a single person’s daily commute to reducing humanity’s collective environmental footprint — we’ve got huge goals.



As an **Engineering Manager** at Via, you’ll lead the development of a new product that helps transit agencies deliver reliable and efficient service to their communities. You’ll guide a team of engineers in building something entirely new while working closely with other teams to ensure the product integrates seamlessly into Via’s ecosystem. This role offers the unique opportunity to create from the ground up while leveraging the strengths of an established platform to maximize impact.


**What You'll Do:**


* Lead a full\\-stack engineering team to deliver scalable, high\\-quality products.
* Partner with cross\\-functional teams across Via to align engineering efforts with business goals.
* Define and execute the team’s roadmap to meet company objectives and deliver impact.
* Uphold technical excellence through thoughtful best practices, code reviews, and architectural improvements.
* Mentor and coach engineers to foster professional growth and a culture of collaboration.
* Optimize team processes, resolve blockers, and ensure efficient project delivery.
* Stay current with industry trends to drive innovation and prepare the team for emerging challenges.


**Who You Are:**


* Minimum of 7 years of software development experience building reliable, user\\-focused web applications and solving complex technical challenges.
* Proven ability to lead engineering teams, delivering impactful projects and fostering team growth through clear direction and actionable feedback.
* Strong understanding of modern web application frameworks and technologies.
* Familiarity with cloud platforms, containerization, and CI/CD pipelines to support efficient workflows.
* Skilled at collaborating with cross\\-functional teams to translate business needs into high\\-quality technical solutions.
* Strong communicator and leader, fostering a positive and inclusive team culture that drives collaboration and innovation.
* Adaptable and proactive problem\\-solver, thriving in dynamic environments and aligning team efforts with evolving company goals.


**Compensation and Benefits:**


* Final salary will be determined by the candidate’s experience, knowledge, and skills. Salary reflected does not include equity or variable pay, where applicable
* Salary Range: $180,000\\-$250,000
* We are proud to offer a generous and comprehensive benefits package, including free medical plans and 401K matching.


We’re Via, and we build technology that changes the way the world moves. We pioneered the TransitTech category to ensure that the future of transportation is shared, dynamic public mobility — the kind that reduces carbon emissions across congested cities, minimizes reliance on private cars, and provides *everyone* with accessible, efficient, and affordable ways of getting around.



We created the first end\\-to\\-end TransitTech solution for cities and transit agencies, offering world\\-class software, service design, and operational expertise to fundamentally improve the way the world moves.



Via was founded with the guiding principle that we go further when we go together. We are dedicated to building a diverse, inclusive and authentic workplace. If you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles. All backgrounds, identities, and voices are welcomed and celebrated at Via.","","https://www.glassdoor.com/Overview/W-EI_IE720191.htm","https://media.glassdoor.com/sql/720191/via-transportation-squarelogo-1582821685035.png","","","","",""
"gd-1009555096774","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009555096774","","Senior Software Engineer, Infrastructure, Google Cloud NetInfra","Google","New York, NY","2024-12-06","","","","","","",False,"","","organic","","**Minimum qualifications:**  

* Bachelor’s degree or equivalent practical experience.
* 5 years of experience with software development in C\\+\\+, and with data structures/algorithms.
* 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
* 3 years of experience developing large\\-scale infrastructure, distributed systems or networks, or experience with compute technologies, storage or hardware architecture.


**Preferred qualifications:**  

* Master's degree or PhD in Computer Science or related technical field.
* 1 year of experience in a technical leadership role.
* Experience developing accessible technologies.


About the job
  
  

Google's software engineers develop the next\\-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large\\-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast\\-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full\\-stack as we continue to push technology forward.
  
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
  
Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise\\-grade solutions that leverage Google’s cutting\\-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
  
The US base salary range for this full\\-time position is $161,000\\-$239,000 \\+ bonus \\+ equity \\+ benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job\\-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
  
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more aboutbenefits at Google.
  
  

Responsibilities
  
  

* Write and test product or system development code.
* Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
* Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
* Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
* Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See alsoGoogle's EEO Policy andEEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing ourAccommodations for Applicants form.","","https://www.glassdoor.com/Overview/W-EI_IE9079.htm","https://media.glassdoor.com/sql/9079/google-squarelogo-1441130773284.png","","","","",""
"gd-1009554983001","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009554983001","","Senior Python Software Engineer","Orbis","New York, NY","2024-12-06","","direct_data","yearly",200000.0,200000.0,"USD",False,"","","organic","","* New York, NY (Hybrid)
* Permanent
* Up to $200k \\+ Bonus \\+ Equity
**REF: 11095**
**Senior Python Software Engineer – Hybrid Role in New York City \\|** U**p to $200,000, with a competitive bonus and equity package**


**Step into the Future of Trading and Cryptocurrency Innovation**



Are you ready to harness your Python expertise in an industry that’s transforming the financial landscape? As a Senior Python Software Engineer, you’ll play a pivotal role in shaping cutting\\-edge solutions for the rapidly evolving trading and cryptocurrency sectors. This is more than just a job—it’s an opportunity to contribute to meaningful innovation and grow your career in a dynamic, high\\-growth environment.


**What Sets This Role Apart**


* **Top\\-Tier Compensation**: Earn up to $200,000, with flexibility based on experience, alongside a generous bonus and equity package.
* **Hybrid Work Model**: Enjoy a balance between collaboration and flexibility with 3\\-4 days in the New York City office and 1\\-2 days working remotely.
* **Innovative Sector**: Be at the forefront of tech advancements in trading and cryptocurrency. Your work will directly impact the future of these industries.


**Key Responsibilities**


* Develop and maintain scalable backend systems using Python.
* Collaborate with cross\\-functional teams to design and implement full\\-stack solutions.
* Ensure applications are secure, reliable, and scalable in a high\\-stakes trading environment.


**Required Skills and Experience**


* **Python Expertise**: Strong proficiency in Python is essential. Experience with Node.js or React.js is beneficial but not mandatory—this role is primarily focused on backend development.
* **Full\\-Stack Development**: While backend is the core focus, familiarity with full\\-stack development principles will be an advantage.
* **Industry Experience**: Previous experience in trading, finance, or cryptocurrency is a plus, but a passion for technology and innovation is key.


**Why Join?**



Join a forward\\-thinking team that values your contributions and fosters an environment where your career can thrive. If you’re looking for a role that offers professional growth and the chance to make a tangible impact, this opportunity is tailored for you.


* + **Consultant:** Dylan Martin

  


At Orbis Group, we are committed to creating an inclusive and diverse workplace. Research indicates that candidates, especially from underrepresented backgrounds, often hesitate to apply for jobs if they don't meet every qualification.  

  

If you're excited about a role but don't perfectly align with every requirement, we encourage you to apply. Your unique skills and experiences may be the perfect fit for the job or other opportunities that arise.","","https://www.glassdoor.com/Overview/W-EI_IE1314264.htm","https://media.glassdoor.com/sql/1314264/orbis-consultants-squarelogo-1515679132942.png","","","","",""
"gd-1009555548831","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009555548831","","Associate - Mulesoft API and Python Lambda Developer","New York Life Insurance Co","New York, NY","2024-12-06","","direct_data","yearly",65000.0,110000.0,"USD",False,"","","organic","","**Location Designation:** Hybrid \\- 3 days per month

 **Role Overview**


We are seeking a talented and experienced Mulesoft API and Python Lambda Developer to join our dynamic Client Communications Technology team. In this role, you will play a crucial part in designing, developing, and maintaining robust, scalable, and secure API integrations and serverless functions to enhance our client communication systems.

**What You’ll Do:**

* **API Development:**
	+ Design, develop, and deploy RESTful APIs using Mulesoft Anypoint Platform.
	+ Ensure API performance, security, and scalability.
	+ Implement API versioning, rate limiting, and other best practices.
	+ Collaborate with cross\\-functional teams to define API contracts and data models.
* **Serverless Function Development:**
	+ Develop and deploy serverless functions using AWS Lambda and Python.
	+ Write efficient and well\\-structured Python code.
	+ Integrate serverless functions with other systems and APIs.
	+ Troubleshoot and optimize function performance.
* **Integration Development:**
	+ Design and implement integrations between various systems, including legacy systems and cloud\\-based applications.
	+ Utilize Mulesoft connectors and transformers to map and transform data.
	+ Handle error handling, logging, and monitoring of integrations.
* **Testing and Debugging:**
	+ Write unit, integration, and end\\-to\\-end tests to ensure code quality.
	+ Troubleshoot and resolve issues in API and serverless function implementations.
	+ Collaborate with QA teams to identify and fix defects.
* **Deployment and Maintenance:**
	+ Deploy and manage API and serverless function deployments to production environments.
	+ Monitor system performance and proactively address issues.
	+ Implement continuous integration and continuous delivery (CI/CD) pipelines.

**What You’ll Bring:**

* Strong proficiency in Mulesoft Anypoint Platform, including MuleSoft Anypoint Studio, API Manager, and CloudHub.
* Solid understanding of API design principles, RESTful APIs, and API security standards (OAuth, OpenID Connect).
* Experience with Python programming language, including AWS Lambda and serverless architecture.
* Knowledge of data integration patterns and techniques.
* Familiarity with cloud platforms, preferably AWS.
* Strong problem\\-solving and analytical skills.
* Excellent communication and collaboration skills.
* Experience with CI/CD tools and methodologies.

**Preferred Qualifications:**

* Experience with API testing tools (e.g., Postman, Swagger UI).
* Knowledge of data transformation languages (e.g., DataWeave).
* Experience with containerization technologies (e.g., Docker, Kubernetes).
* Understanding of DevOps practices and tools.


If you are a passionate and skilled developer who thrives in a fast\\-paced environment, we encourage you to apply.

  



**Pay Transparency**


Salary Range: $65,000\\-$110,000


Overtime eligible: Exempt


Discretionary bonus eligible: Yes


Sales bonus eligible: No

  

Actual base salary will be determined based on several factors but not limited to individual’s experience, skills, qualifications, and job location. Additionally, employees are eligible for an annual discretionary bonus. In addition to base salary, employees may also be eligible to participate in an incentive program.

 **Our Benefits**


We provide a full package of benefits for employees – and have unique offerings for a modern workforce, including leave programs, adoption assistance, and student loan repayment programs. Based on feedback from our employees, we continue to refine and add benefits to our offering, so that you can flourish both inside and outside of work.Click hereto discover more about our comprehensive benefit options or visit our NYL Benefits Site.

  



**Our Diversity Promise**


We believe in a diverse workforce because it is our mission to advocate for the financial security and success of people in every community. This is why diversity, equity, and inclusion (DEI) are guiding principles that are embedded in our brand and our culture. Click here to learn more about how we have been recognized for our leadership.

  

Recognized as one of *Fortune’s* World’s Most Admired Companies, New York Life is committed to improving local communities through a culture of employee giving and volunteerism, supported by the Foundation. We're proud that due to our mutuality, we operate in the best interests of our policy owners. To learn more about career opportunities at New York Life, please visit the Careers page of www.NewYorkLife.com.

  



Job Requisition ID: 91109","","https://www.glassdoor.com/Overview/W-EI_IE2915.htm","https://media.glassdoor.com/sql/2915/new-york-life-squarelogo.png","","","","",""
"gd-1009555758311","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009555758311","","C# Developer","Wallero Technologies inc","Weehawken, NJ","2024-12-06","","direct_data","hourly",60.0,70.0,"USD",False,"","","organic","shashidhar.k@wallero.com","**Job Title: C\\#/.Net Developer**

**Location: New Jersey**

**Job Description**:

The successful candidate will be a ‘hands on’ developer working within a small focused team with exposure to Equity personnel. The development team is an integral part of a high energy front\\-office environment. As a result, the candidate will need to be highly committed, and be able to build very close working relationships with both the business and support teams.

This role is for a C\\# developer to work within Cash Equities IT. The Core GUI team develops and maintains in\\-house C\\# GUI applications to support manual \\& automated trading \\-including DMA and algorithmic trading.

**Requirements:**

* Excellent core C\\#/.Net
* Commercial experience in Winforms or WPF development \\& GUI usability
* Experience of the project life\\-cycle, including capturing requirements, code\\-reviewing and unit testing
* Client server development techniques
* Strong communication and team working skills
* Experience of integration between Java and C\\#

**•** Practical experience and understanding of Equities Trading IT

* Java development experience

Thanks

shashidhar.k@wallero.com

Job Type: Contract

Pay: $60\\.00 \\- $70\\.00 per hour

Schedule:

* 8 hour shift

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE1900831.htm","https://media.glassdoor.com/sql/1900831/wallero-squareLogo-1696876040378.png","","","","",""
"gd-1009554792496","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009554792496","","Java Full Stack Developer","Chuwa America","New York, NY","2024-12-06","","direct_data","hourly",60.0,65.0,"USD",False,"","","organic","","Role: Sr Java developer

NYC or jersey City hybrid 3 days

Key skills: investment banking exp with react and 12\\+ years genuine candidates only.

Its a full stack developer role with experience in ReactJs, finacle and investment banking experience

**Note : Finacle Experience would be an added advantage.**

Job Type: Contract

Pay: $60\\.00 \\- $65\\.00 per hour

Expected hours: 40 per week

Schedule:

* 8 hour shift

Experience:

* REST: 10 years (Required)
* Java: 10 years (Required)
* Investment banking: 7 years (Required)
* Finacle: 5 years (Preferred)

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE2211184.htm","https://media.glassdoor.com/sql/2211184/chuwa-america-squarelogo-1585046921615.png","","","","",""
"gd-1009555721408","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009555721408","","Acceleration Center Financial Crimes Unit - Risk Architecture Experienced Associate, Software Engineer (Python/SQL)","PRICE WATERHOUSE COOPERS","New York, NY","2024-12-06","","direct_data","yearly",66000.0,78000.0,"USD",False,"","","organic","","At PwC, our people in data and analytics focus on leveraging data to drive insights and make informed business decisions. They utilise advanced analytics techniques to help clients optimise their operations and achieve their strategic goals. In data analysis at PwC, you will focus on utilising advanced analytical techniques to extract insights from large datasets and drive data\\-driven decision\\-making. You will leverage skills in data manipulation, visualisation, and statistical modelling to support clients in solving complex business problems.  

Driven by curiosity, you are a reliable, contributing member of a team. In our fast\\-paced environment, you are expected to adapt to working with a variety of clients and team members, each presenting varying challenges and scope. Every experience is an opportunity to learn and grow. You are expected to take ownership and consistently deliver quality work that drives value for our clients and success as a team. As you navigate through the Firm, you build a brand for yourself, opening doors to more opportunities.


Examples of the skills, knowledge, and experiences you need to lead and deliver value at this level include but are not limited to:

* Apply a learning mindset and take ownership for your own development.
* Appreciate diverse perspectives, needs, and feelings of others.
* Adopt habits to sustain high performance and develop your potential.
* Actively listen, ask questions to check understanding, and clearly express ideas.
* Seek, reflect, act on, and give feedback.
* Gather information from a range of sources to analyse facts and discern patterns.
* Commit to understanding how the business works and building commercial awareness.
* Learn and apply professional and technical standards (e.g. refer to specific PwC tax and audit guidance), uphold the Firm's code of conduct and independence requirements.

  

As an Associate in our Risk Analytics and Modeling team, you’ll have the opportunity to apply your quantitative, modeling and analytical skills in a real world environment to develop or validate statistical, financial engineering, and AI/machine learning models in the areas of credit risk, market risk, assets and liabilities management, fraud detection, anti money laundering and other functional modeling and analytics area.


Job Requirements and Preferences:  

  

Basic Qualifications:  

  

**Minimum Degree Required**:  

Bachelor Degree  

  

**Minimum Years of Experience**:  

2 year(s)  

  

Preferred Qualifications:  

  

**Preferred Fields of Study**:  

Economics, Statistics, Applied Mathematics, Mathematics, Financial Mathematics, Data Processing/Analytics/Science  

  

**Additional Educational Preferences**:


Master Degree in Financial Engineering is also preferred.

**Preferred Knowledge/Skills**:


Demonstrates some abilities and/or a proven record of success in the implementation of Advanced Data Analytics and modeling that include:

* Possessing experience with one or more of the following key programming and data analytics tools: Python, R, SAS;
* Working knowledge of the following secondary languages and tools is a plus: Java, C\\+\\+/C\\#, SQL, Tableau, Alteryx, and Excel Macros / VBA /JS;
* Displaying understanding of advanced AI/machine learning, statistical/econometric modeling techniques, and financial engineering methods to develop and/or validate models (Masters\\-level coursework in at least one of these subject areas is preferred);
* Demonstrating knowledge of the financial services industry;
* Demonstrating exposure to modeling methodologies in at least one of the following areas: credit risk, market risk, assets and liabilities management, fraud detection, anti money laundering and other functional modeling and analytics areas; and,
* Displaying knowledge or familiarity with industry financial instrument pricing tools and data sources e.g. Bloomberg, Refinitiv etc.
  


Learn more about how we work: https://pwc.to/how\\-we\\-work  

  

PwC does not intend to hire experienced or entry level job seekers who will need, now or in the future, PwC sponsorship through the H\\-1B lottery, except as set forth within the following policy: https://pwc.to/H\\-1B\\-Lottery\\-Policy.  

  

All qualified applicants will receive consideration for employment at PwC without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital, or citizenship status; or any other status protected by law. PwC is proud to be an affirmative action and equal opportunity employer.  

  

The salary range for this position is: $66,000 \\- $78,000, plus individuals may be eligible for an annual discretionary bonus. For roles that are based in Maryland, this is the listed salary range for this position. Actual compensation within the range will be dependent upon the individual's skills, experience, qualifications and location, and applicable employment laws. PwC offers a wide range of benefits, including medical, dental, vision, 401k, holiday pay, vacation and more. To view our benefits at a glance, please visit the following link: https://pwc.to/benefits\\-at\\-a\\-glance","","https://www.glassdoor.com/Overview/W-EI_IE8450.htm","https://media.glassdoor.com/sql/8450/pwc-squareLogo-1710175827241.png","","","","",""
"gd-1009555753478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009555753478","","Full Stack Java Developer","ENIN SYSTEMS","New York, NY","2024-12-06","","direct_data","hourly",33.0,40.0,"USD",False,"","","organic","","**Job Summary**  
We are seeking a talented and motivated Full Stack Developer to join our dynamic team. The ideal candidate will have a strong background in both front\\-end and back\\-end development, with a passion for building scalable applications and enhancing user experiences. You will be responsible for developing high\\-quality software solutions, collaborating with cross\\-functional teams, and contributing to all phases of the software development lifecycle.

**Duties**

* Design, develop, and maintain web applications using modern technologies.
* Collaborate with UX/UI designers to implement responsive and user\\-friendly interfaces.
* Write clean, maintainable code in languages such as JavaScript, Ruby on Rails, and Java.
* Utilize frameworks like React and Express to enhance application functionality.
* Manage version control using GitHub for efficient code collaboration.
* Participate in code reviews to ensure code quality and best practices.
* Troubleshoot and debug applications to optimize performance.
* Stay updated with emerging technologies and industry trends to continuously improve skills.

**Qualifications**

* Proficiency in web development technologies including Ruby on Rails, JavaScript, Java, React, and Express.
* Experience in application development and software development processes.
* Familiarity with GitHub for version control management.
* Knowledge of programming languages such as C is a plus.
* Understanding of quantum engineering concepts is advantageous but not required.
* Strong problem\\-solving skills and attention to detail.
* Ability to work collaboratively in a team environment while also being self\\-motivated.
* Excellent communication skills to effectively convey technical concepts.

Join us in creating innovative solutions that make a difference! We look forward to your application.

Job Types: Full\\-time, Contract

Pay: $33\\.90 \\- $40\\.83 per hour

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Experience:

* REST: 1 year (Preferred)
* Java: 1 year (Preferred)

Ability to Commute:

* New York, NY 10001 (Preferred)

Ability to Relocate:

* New York, NY 10001: Relocate before starting work (Required)

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE6395458.htm","","","","","",""
